Temperature,Humidity,Wind_Speed,general_diffuse_flows,diffuse_flows,Zone_1_Power_Consumption,qcut_feat_1,class
6.559,73.8,0.083,0.051,0.119,34055.6962,38123.378552941176,1
6.414,74.5,0.083,0.07,0.085,29814.68354,35436.365892941176,1
6.313,74.5,0.08,0.062,0.1,29128.10127,33831.28627,1
6.121,75.0,0.083,0.091,0.096,28228.86076,33010.892009999996,1
5.921,75.7,0.081,0.048,0.085,27335.6962,32608.86914117647,1
5.853,76.9,0.081,0.059,0.108,26624.81013,30792.36290777778,1
5.641,77.7,0.08,0.048,0.096,25998.98734,30564.671715,1
5.496,78.2,0.085,0.055,0.093,25446.07595,30067.443691935485,1
5.678,78.1,0.081,0.066,0.141,24777.72152,27922.769746950355,0
5.491,77.3,0.082,0.062,0.111,24279.49367,28103.40628261261,0
5.516,77.5,0.081,0.051,0.108,23896.70886,27854.94960074074,0
5.471,76.7,0.083,0.059,0.126,23544.3038,26874.6664984127,0
5.059,78.6,0.081,0.07,0.096,23003.5443,27145.600550000003,0
4.968,78.8,0.084,0.07,0.134,22329.11392,25250.594517014924,0
4.975,78.9,0.083,0.055,0.152,22092.1519,24674.569663157894,0
4.897,79.1,0.083,0.07,0.096,21903.79747,25938.721428333334,0
5.02,79.7,0.081,0.051,0.134,21685.06329,24670.839409402983,0
5.407,78.5,0.082,0.062,0.163,21484.55696,24088.54162257669,0
5.169,77.9,0.083,0.066,0.108,21107.8481,24836.228655555555,0
5.081,77.7,0.084,0.051,0.13,20998.48101,24035.355625384615,0
5.041,77.2,0.081,0.062,0.152,20870.88608,23431.183448421052,0
5.034,76.9,0.083,0.051,0.185,20870.88608,22963.397431351354,0
4.896,76.6,0.085,0.07,0.137,20597.46835,23334.939882846713,0
4.805,76.2,0.081,0.059,0.134,20421.26582,23153.66134238806,0
4.753,75.7,0.083,0.044,0.134,20524.55696,23209.647258507466,0
4.901,74.4,0.083,0.07,0.122,20482.02532,23470.83187737705,0
5.203,74.1,0.085,0.062,0.096,20530.63291,24546.698535,0
5.394,71.9,0.081,0.073,0.1,20512.40506,24390.69106,0
5.156,74.0,0.079,0.062,0.148,20494.17722,23072.17722,0
5.179,74.2,0.083,0.037,0.137,20311.89873,23116.875372335766,0
4.934,72.9,0.082,0.055,0.134,20542.78481,23227.028093582092,0
4.718,75.8,0.08,0.051,0.152,20621.77215,22974.564255263158,0
5.546,74.0,0.082,0.055,0.093,20627.8481,25040.794336559138,0
4.658,73.5,0.08,0.044,0.104,20797.97468,24089.92660307692,0
4.382,76.9,0.081,0.073,0.148,20858.73418,23135.59769351351,0
4.212,78.3,0.081,0.117,0.082,21393.41772,25415.364061463413,0
4.308,77.2,0.081,0.062,0.126,22219.74684,24859.25160190476,0
4.735,74.3,0.08,0.04,0.156,21928.10127,24183.29678282051,0
4.769,75.6,0.082,0.099,0.063,21776.20253,27499.002529999998,0
4.92,73.7,0.083,0.099,0.096,21654.68354,25431.80854,0
4.408,76.7,0.082,0.037,0.119,21466.32911,24307.45179907563,0
4.29,77.0,0.085,0.033,0.193,20846.58228,22558.136684145076,0
4.304,76.0,0.082,0.048,0.152,19983.79747,22135.79747,0
4.513,74.6,0.084,0.055,0.134,18908.35443,21420.81562402985,0
4.489,74.3,0.082,0.081,0.119,18167.08861,20969.884408319325,0
4.356,72.3,0.082,0.07,0.119,18075.94937,20722.493907815126,0
4.478,72.2,0.083,0.073,0.089,18063.79747,21696.512076741576,0
4.583,71.0,0.083,0.066,0.104,18045.56962,21174.348466153846,0
4.794,72.0,0.084,0.187,0.145,18385.82278,20766.29174551724,0
4.807,73.1,0.082,0.955,0.949,18987.34177,19357.617533962064,0
4.757,73.5,0.083,3.188,3.134,19576.70886,19688.272197587747,0
4.509,74.5,0.084,6.643,6.494,19837.97468,19889.702505685247,0
4.346,74.8,0.082,12.64,10.13,20166.07595,20198.166848321816,0
4.718,73.7,0.081,58.97,17.0,20676.4557,20696.909617647056,0
4.704,71.8,0.083,82.5,20.15,21296.20253,21312.96417764268,0
4.624,74.1,0.082,106.9,22.55,22043.5443,22058.738907538806,0
4.629,74.8,0.083,132.1,24.3,22651.13924,22665.388178271605,0
4.599,74.0,0.082,156.1,26.9,23131.13924,23143.79076416357,0
4.524,74.7,0.081,182.4,28.19,23641.51899,23653.50702831146,0
4.575,74.5,0.082,208.8,29.2,24668.35443,24680.026947123286,0
5.124,73.7,0.076,234.8,29.23,25275.94937,25288.868932093737,0
5.836,71.3,2.66,257.9,31.01,25920.0,25933.41847146082,0
5.996,69.85,4.93,282.7,31.96,26393.92405,26407.028574405507,0
6.22,68.81,4.924,307.0,32.42,26861.77215,26874.973821807525,0
6.703,68.01,4.923,327.6,33.22,27511.89873,27525.621518380496,0
6.993,66.14,4.918,349.6,33.41,28149.87342,28163.717090158636,0
7.54,64.21,4.916,371.1,33.43,28714.93671,28729.419013320374,0
8.22,61.9,4.916,388.2,33.89,29043.03797,29058.0517793833,0
9.49,59.3,2.451,401.3,34.4,29261.77215,29278.131365116278,0
10.65,56.03,0.084,419.5,35.29,29474.43038,29491.33940521961,0
11.06,53.52,0.082,430.9,37.58,29523.03797,29538.78919937733,0
12.4,53.26,0.08,437.5,43.46,29711.39241,29726.58854437644,0
13.08,54.36,0.077,450.4,43.2,29644.55696,29661.01596,0
14.38,54.42,0.076,470.5,37.92,29802.53165,29823.168770253167,0
15.02,56.46,0.074,480.0,38.81,29887.59494,29909.445731033236,0
15.55,58.7,0.075,486.1,39.46,30039.49367,30062.625575727317,0
15.56,59.23,0.076,490.2,40.92,29966.58228,29989.104733567936,0
15.49,59.3,0.076,495.9,40.9,29996.96203,30019.42063635697,0
15.57,58.06,0.077,498.1,40.94,30258.22785,30280.30880261358,0
15.65,58.7,0.077,498.1,42.75,30404.05063,30425.539635847956,0
15.73,59.33,0.076,498.8,44.65,30094.17722,30115.07891988802,0
15.68,58.6,0.079,497.0,44.26,30161.01266,30181.772894975147,1
15.7,55.29,0.074,489.2,39.32,30318.98734,30341.063967670398,0
15.75,52.45,0.077,482.4,38.65,30154.93671,30176.31025463131,0
15.83,54.99,0.079,476.1,39.49,29984.81013,30006.853475150674,0
15.79,56.66,0.076,467.7,39.94,30021.26582,30043.665955202803,0
15.72,55.86,0.077,456.1,39.95,30021.26582,30043.24627556946,0
15.8,54.06,0.075,449.2,41.52,29911.89873,29932.47069531792,0
15.74,55.56,0.075,437.4,44.13,29747.8481,29767.664877702242,0
15.72,56.69,0.077,422.0,43.87,29705.31646,29725.63026898108,0
15.64,57.26,0.077,409.0,44.9,29571.64557,29591.590924120268,0
15.69,57.96,0.074,391.8,46.89,29553.41772,29572.811885067178,0
15.69,58.93,0.075,369.4,51.51,29383.29114,29401.241279778686,0
15.6,58.7,0.073,321.0,57.14,29061.26582,29077.291721295067,0
15.39,57.6,0.075,180.3,60.31,28885.06329,28899.761747967168,0
15.34,58.7,0.075,149.5,67.85,28854.68354,28867.954844347827,0
15.33,59.23,0.077,209.1,128.9,28836.4557,28843.49988851823,0
15.48,57.46,0.074,265.1,219.1,28708.86076,28712.920462418988,0
15.54,58.3,0.076,241.3,246.0,28556.96203,28560.644883658537,0
15.53,58.8,0.077,219.0,248.1,28514.43038,28518.11100877872,0
15.48,57.73,0.075,195.7,231.6,28666.32911,28670.1877473057,0
15.47,58.23,0.077,174.9,211.9,29097.72152,29101.972667239264,0
15.44,59.07,0.076,165.8,201.7,29723.5443,29728.06606896381,1
15.35,59.3,0.077,132.0,163.0,30871.89873,30877.48311650307,1
15.34,59.0,0.079,117.4,144.3,32700.75949,32707.031562072072,1
15.11,59.53,0.076,97.6,120.6,35793.41772,35800.876246534,1
14.93,60.83,0.077,76.5,94.0,38321.01266,38330.67427595745,1
14.71,61.87,0.086,26.51,28.08,39129.11392,39161.52516287749,1
14.48,63.27,0.08,18.0,18.29,39560.50633,39610.596521361396,1
14.29,63.94,0.078,6.994,7.02,39517.97468,39648.13174552706,1
14.09,64.87,0.078,2.818,2.763,39596.96203,39927.76850846544,1
13.89,66.11,0.076,0.809,0.89,39469.36709,40501.128775393256,1
13.79,66.74,0.076,0.146,0.197,39682.02532,44353.82532,1
13.54,66.71,0.076,0.062,0.089,39888.60759,50037.52219674157,1
12.51,68.35,0.077,0.055,0.085,39991.89873,50051.41049470588,1
12.06,70.2,0.078,0.066,0.096,40210.63291,49029.50791,1
11.75,70.7,0.079,0.055,0.126,40216.70886,46809.76441555555,1
11.61,70.7,0.077,0.081,0.126,40435.44304,46949.94304,1
11.5,70.6,0.078,0.059,0.074,40514.43038,51486.05200162162,1
11.43,70.7,0.076,0.048,0.093,40544.81013,49234.06819451613,1
11.42,71.2,0.076,0.073,0.085,40283.5443,49849.47371176471,1
11.69,71.1,0.078,0.091,0.104,40216.70886,48208.62232153846,1
12.05,69.82,0.077,0.048,0.108,40477.97468,48268.07653185185,1
11.87,69.98,0.076,0.051,0.093,40611.64557,49543.50148397849,1
11.61,71.2,0.078,0.04,0.119,40435.44304,47381.93043495798,1
