Selector,Classifier,Number_of_Features,Accuracy,Performance_score,Supported_Features
SelectKBest_f_classif,SVC_rbf,10,0.8142965779467681,0.8143,[False False False ... False False False]
SelectKBest_f_classif,SVC_linear,10,0.7768314321926489,0.7768,[False False False ... False False False]
SelectKBest_f_classif,DecisionTreeClassifier,10,0.7315640050697085,0.7316,[False False False ... False False False]
SelectKBest_f_classif,XGBClassifier,10,0.8102965779467681,0.8103,[False False False ... False False False]
SelectKBest_f_classif,RandomForestClassifier,10,0.7075640050697085,0.7076,[False False False ... False False False]
SelectKBest_f_classif,LogisticRegression,10,0.8001977186311787,0.8002,[False False False ... False False False]
SelectKBest_f_classif,SVC_rbf,20,0.8534651457541191,0.8535,[False False False ... False False False]
SelectKBest_f_classif,SVC_linear,20,0.8201977186311787,0.8202,[False False False ... False False False]
SelectKBest_f_classif,DecisionTreeClassifier,20,0.7700988593155893,0.7701,[False False False ... False False False]
SelectKBest_f_classif,XGBClassifier,20,0.8500988593155894,0.8501,[False False False ... False False False]
SelectKBest_f_classif,RandomForestClassifier,20,0.6793662864385297,0.6794,[False False False ... False False False]
SelectKBest_f_classif,LogisticRegression,20,0.8161977186311787,0.8162,[False False False ... False False False]
SelectKBest_f_classif,SVC_rbf,30,0.8768314321926489,0.8768,[False False False ... False False False]
SelectKBest_f_classif,SVC_linear,30,0.8334651457541191,0.8335,[False False False ... False False False]
SelectKBest_f_classif,DecisionTreeClassifier,30,0.7808314321926488,0.7808,[False False False ... False False False]
SelectKBest_f_classif,XGBClassifier,30,0.8688314321926489,0.8688,[False False False ... False False False]
SelectKBest_f_classif,RandomForestClassifier,30,0.6473662864385298,0.6474,[False False False ... False False False]
SelectKBest_f_classif,LogisticRegression,30,0.8507325728770596,0.8507,[False False False ... False False False]
SelectKBest_f_classif,SVC_rbf,50,0.9014651457541192,0.9015,[False False False ... False False False]
SelectKBest_f_classif,SVC_linear,50,0.8667325728770596,0.8667,[False False False ... False False False]
SelectKBest_f_classif,DecisionTreeClassifier,50,0.7848314321926488,0.7848,[False False False ... False False False]
SelectKBest_f_classif,XGBClassifier,50,0.8614651457541191,0.8615,[False False False ... False False False]
SelectKBest_f_classif,RandomForestClassifier,50,0.6313662864385298,0.6314,[False False False ... False False False]
SelectKBest_f_classif,LogisticRegression,50,0.8580988593155894,0.8581,[False False False ... False False False]
SelectKBest_f_classif,SVC_rbf,75,0.9054651457541192,0.9055,[False  True False ... False False False]
SelectKBest_f_classif,SVC_linear,75,0.8627325728770596,0.8627,[False  True False ... False False False]
SelectKBest_f_classif,DecisionTreeClassifier,75,0.7848314321926488,0.7848,[False  True False ... False False False]
SelectKBest_f_classif,XGBClassifier,75,0.8734651457541192,0.8735,[False  True False ... False False False]
SelectKBest_f_classif,RandomForestClassifier,75,0.5680000000000001,0.568,[False  True False ... False False False]
SelectKBest_f_classif,LogisticRegression,75,0.8540988593155894,0.8541,[False  True False ... False False False]
SelectKBest_f_classif,SVC_rbf,100,0.9174651457541192,0.9175,[False  True False ... False False False]
SelectKBest_f_classif,SVC_linear,100,0.8867325728770596,0.8867,[False  True False ... False False False]
SelectKBest_f_classif,DecisionTreeClassifier,100,0.7848314321926488,0.7848,[False  True False ... False False False]
SelectKBest_f_classif,XGBClassifier,100,0.8787325728770596,0.8787,[False  True False ... False False False]
SelectKBest_f_classif,RandomForestClassifier,100,0.5593662864385298,0.5594,[False  True False ... False False False]
SelectKBest_f_classif,LogisticRegression,100,0.8667325728770596,0.8667,[False  True False ... False False False]
SelectKBest_f_classif,SVC_rbf,200,0.9475640050697085,0.9376,[ True  True False ... False False False]
SelectKBest_f_classif,SVC_linear,200,0.8907325728770596,0.8807,[ True  True False ... False False False]
SelectKBest_f_classif,DecisionTreeClassifier,200,0.7888314321926488,0.7788,[ True  True False ... False False False]
SelectKBest_f_classif,XGBClassifier,200,0.8894651457541192,0.8795,[ True  True False ... False False False]
SelectKBest_f_classif,RandomForestClassifier,200,0.54,0.53,[ True  True False ... False False False]
SelectKBest_f_classif,LogisticRegression,200,0.8947325728770597,0.8847,[ True  True False ... False False False]
