Selector,Classifier,Number_of_Features,Accuracy,Performance_score
SelectKBest_chi2,SVC_rbf,10,0.925601750547046,0.9256
SelectKBest_chi2,SVC_linear,10,0.9212253829321663,0.9212
SelectKBest_chi2,DecisionTreeClassifier,10,0.9201312910284464,0.9201
SelectKBest_chi2,XGBClassifier,10,0.925601750547046,0.9256
SelectKBest_chi2,RandomForestClassifier,10,0.9070021881838074,0.907
SelectKBest_chi2,LogisticRegression,10,0.9277899343544858,0.9278
SelectKBest_chi2,SVC_rbf,50,0.9660831509846827,0.9661
SelectKBest_chi2,SVC_linear,50,0.9595185995623632,0.9595
SelectKBest_chi2,DecisionTreeClassifier,50,0.9168490153172867,0.9168
SelectKBest_chi2,XGBClassifier,50,0.9606126914660832,0.9606
SelectKBest_chi2,RandomForestClassifier,50,0.8938730853391685,0.8939
SelectKBest_chi2,LogisticRegression,50,0.9584245076586433,0.9584
SelectKBest_chi2,SVC_rbf,100,0.973741794310722,0.9737
SelectKBest_chi2,SVC_linear,100,0.9638949671772429,0.9639
SelectKBest_chi2,DecisionTreeClassifier,100,0.9277899343544858,0.9278
SelectKBest_chi2,XGBClassifier,100,0.9573304157549234,0.9573
SelectKBest_chi2,RandomForestClassifier,100,0.8840262582056893,0.884
SelectKBest_chi2,LogisticRegression,100,0.9617067833698031,0.9617
SelectKBest_chi2,SVC_rbf,200,0.9792122538293216,0.9692
SelectKBest_chi2,SVC_linear,200,0.9671772428884027,0.9572
SelectKBest_chi2,DecisionTreeClassifier,200,0.9354485776805251,0.9254
SelectKBest_chi2,XGBClassifier,200,0.9660831509846827,0.9561
SelectKBest_chi2,RandomForestClassifier,200,0.8719912472647703,0.862
SelectKBest_chi2,LogisticRegression,200,0.9671772428884027,0.9572
SelectKBest_chi2,SVC_rbf,500,0.9835886214442013,0.9436
SelectKBest_chi2,SVC_linear,500,0.9748358862144421,0.9348
SelectKBest_chi2,DecisionTreeClassifier,500,0.937636761487965,0.8976
SelectKBest_chi2,XGBClassifier,500,0.9638949671772429,0.9239
SelectKBest_chi2,RandomForestClassifier,500,0.8687089715536105,0.8287
SelectKBest_chi2,LogisticRegression,500,0.9715536105032823,0.9316
SelectKBest_chi2,SVC_rbf,1000,0.975929978118162,0.8859
SelectKBest_chi2,SVC_linear,1000,0.975929978118162,0.8859
SelectKBest_chi2,DecisionTreeClassifier,1000,0.9452954048140044,0.8553
SelectKBest_chi2,XGBClassifier,1000,0.9704595185995624,0.8805
SelectKBest_chi2,RandomForestClassifier,1000,0.8632385120350109,0.7732
SelectKBest_chi2,LogisticRegression,1000,0.973741794310722,0.8837
SelectKBest_chi2,SVC_rbf,2000,0.9638949671772429,0.7739
SelectKBest_chi2,SVC_linear,2000,0.9792122538293216,0.7892
SelectKBest_chi2,DecisionTreeClassifier,2000,0.9452954048140044,0.7553
SelectKBest_chi2,XGBClassifier,2000,0.9671772428884027,0.7772
SelectKBest_chi2,RandomForestClassifier,2000,0.8643326039387309,0.6743
SelectKBest_chi2,LogisticRegression,2000,0.975929978118162,0.7859
SelectKBest_chi2,SVC_rbf,5000,0.9595185995623632,0.4695
SelectKBest_chi2,SVC_linear,5000,0.9781181619256017,0.4881
SelectKBest_chi2,DecisionTreeClassifier,5000,0.9442013129102844,0.4542
SelectKBest_chi2,XGBClassifier,5000,0.973741794310722,0.4837
SelectKBest_chi2,RandomForestClassifier,5000,0.8632385120350109,0.3732
SelectKBest_chi2,LogisticRegression,5000,0.975929978118162,0.4859
SelectKBest_chi2,SVC_rbf,7000,0.9595185995623632,0.2695
SelectKBest_chi2,SVC_linear,7000,0.9803063457330415,0.2903
SelectKBest_chi2,DecisionTreeClassifier,7000,0.9452954048140044,0.2553
SelectKBest_chi2,XGBClassifier,7000,0.973741794310722,0.2837
SelectKBest_chi2,RandomForestClassifier,7000,0.8632385120350109,0.1732
SelectKBest_chi2,LogisticRegression,7000,0.975929978118162,0.2859
