Selector,Classifier,Number_of_Features,Accuracy,Performance_score
CorrelationSelector,SVC_rbf,10,0.9409190371991247,0.9409
CorrelationSelector,SVC_linear,10,0.9343544857768052,0.9344
CorrelationSelector,DecisionTreeClassifier,10,0.9201312910284464,0.9201
CorrelationSelector,XGBClassifier,10,0.9398249452954048,0.9398
CorrelationSelector,RandomForestClassifier,10,0.9113785557986871,0.9114
CorrelationSelector,LogisticRegression,10,0.9398249452954048,0.9398
CorrelationSelector,SVC_rbf,50,0.9693654266958425,0.9694
CorrelationSelector,SVC_linear,50,0.9617067833698031,0.9617
CorrelationSelector,DecisionTreeClassifier,50,0.936542669584245,0.9365
CorrelationSelector,XGBClassifier,50,0.9584245076586433,0.9584
CorrelationSelector,RandomForestClassifier,50,0.8949671772428884,0.895
CorrelationSelector,LogisticRegression,50,0.9584245076586433,0.9584
CorrelationSelector,SVC_rbf,100,0.973741794310722,0.9737
CorrelationSelector,SVC_linear,100,0.9660831509846827,0.9661
CorrelationSelector,DecisionTreeClassifier,100,0.936542669584245,0.9365
CorrelationSelector,XGBClassifier,100,0.9638949671772429,0.9639
CorrelationSelector,RandomForestClassifier,100,0.888402625820569,0.8884
CorrelationSelector,LogisticRegression,100,0.9617067833698031,0.9617
CorrelationSelector,SVC_rbf,200,0.9792122538293216,0.9692
CorrelationSelector,SVC_linear,200,0.9682713347921226,0.9583
CorrelationSelector,DecisionTreeClassifier,200,0.937636761487965,0.9276
CorrelationSelector,XGBClassifier,200,0.9660831509846827,0.9561
CorrelationSelector,RandomForestClassifier,200,0.8730853391684902,0.8631
CorrelationSelector,LogisticRegression,200,0.9693654266958425,0.9594
CorrelationSelector,SVC_rbf,500,0.9803063457330415,0.9403
CorrelationSelector,SVC_linear,500,0.9748358862144421,0.9348
CorrelationSelector,DecisionTreeClassifier,500,0.9452954048140044,0.9053
CorrelationSelector,XGBClassifier,500,0.9726477024070022,0.9326
CorrelationSelector,RandomForestClassifier,500,0.8676148796498906,0.8276
CorrelationSelector,LogisticRegression,500,0.973741794310722,0.9337
CorrelationSelector,SVC_rbf,1000,0.9726477024070022,0.8826
CorrelationSelector,SVC_linear,1000,0.9770240700218819,0.887
CorrelationSelector,DecisionTreeClassifier,1000,0.9452954048140044,0.8553
CorrelationSelector,XGBClassifier,1000,0.9693654266958425,0.8794
CorrelationSelector,RandomForestClassifier,1000,0.8654266958424508,0.7754
CorrelationSelector,LogisticRegression,1000,0.9726477024070022,0.8826
CorrelationSelector,SVC_rbf,2000,0.9595185995623632,0.7695
CorrelationSelector,SVC_linear,2000,0.9803063457330415,0.7903
CorrelationSelector,DecisionTreeClassifier,2000,0.9452954048140044,0.7553
CorrelationSelector,XGBClassifier,2000,0.9726477024070022,0.7826
CorrelationSelector,RandomForestClassifier,2000,0.8643326039387309,0.6743
CorrelationSelector,LogisticRegression,2000,0.975929978118162,0.7859
CorrelationSelector,SVC_rbf,5000,0.9584245076586433,0.4684
CorrelationSelector,SVC_linear,5000,0.9770240700218819,0.487
CorrelationSelector,DecisionTreeClassifier,5000,0.9452954048140044,0.4553
CorrelationSelector,XGBClassifier,5000,0.9704595185995624,0.4805
CorrelationSelector,RandomForestClassifier,5000,0.8632385120350109,0.3732
CorrelationSelector,LogisticRegression,5000,0.975929978118162,0.4859
CorrelationSelector,SVC_rbf,7000,0.9595185995623632,0.2695
CorrelationSelector,SVC_linear,7000,0.9803063457330415,0.2903
CorrelationSelector,DecisionTreeClassifier,7000,0.9452954048140044,0.2553
CorrelationSelector,XGBClassifier,7000,0.973741794310722,0.2837
CorrelationSelector,RandomForestClassifier,7000,0.8632385120350109,0.1732
CorrelationSelector,LogisticRegression,7000,0.975929978118162,0.2859
