Selector,Classifier,Number_of_Features,Accuracy,Performance_score,alpha,l1_ratio
ElasticNet,ElasticNet,723,0.8170306982382222,0.7547,0.0001,0.9
ElasticNet,ElasticNet,122,0.7529311990355632,0.7507,0.001,0.9
ElasticNet,ElasticNet,17,0.4725244214278968,0.4725,0.01,0.9
ElasticNet,ElasticNet,0,-9.535785048897516e-05,-0.0001,0.1,0.9
ElasticNet,ElasticNet,0,-9.535785048897516e-05,-0.0001,1.0,0.9
ElasticNet,ElasticNet,0,-9.535785048897516e-05,-0.0001,10.0,0.9
ElasticNet,ElasticNet,0,-9.535785048897516e-05,-0.0001,100.0,0.9
ElasticNet,ElasticNet,0,-9.535785048897516e-05,-0.0001,1000.0,0.9
ElasticNet,ElasticNet,0,-9.535785048897516e-05,-0.0001,10000.0,0.9
ElasticNet,ElasticNet,699,0.8173732561908641,0.7575,0.0001,0.95
ElasticNet,ElasticNet,114,0.750636419928511,0.7492,0.001,0.95
ElasticNet,ElasticNet,16,0.4605583453901778,0.4606,0.01,0.95
ElasticNet,ElasticNet,0,-9.535785048897516e-05,-0.0001,0.1,0.95
ElasticNet,ElasticNet,0,-9.535785048897516e-05,-0.0001,1.0,0.95
ElasticNet,ElasticNet,0,-9.535785048897516e-05,-0.0001,10.0,0.95
ElasticNet,ElasticNet,0,-9.535785048897516e-05,-0.0001,100.0,0.95
ElasticNet,ElasticNet,0,-9.535785048897516e-05,-0.0001,1000.0,0.95
ElasticNet,ElasticNet,0,-9.535785048897516e-05,-0.0001,10000.0,0.95
ElasticNet,ElasticNet,691,0.8176502675272035,0.7586,0.0001,0.98
ElasticNet,ElasticNet,112,0.7493990961740812,0.7482,0.001,0.98
ElasticNet,ElasticNet,15,0.4536953649366454,0.4537,0.01,0.98
ElasticNet,ElasticNet,0,-9.535785048897516e-05,-0.0001,0.1,0.98
ElasticNet,ElasticNet,0,-9.535785048897516e-05,-0.0001,1.0,0.98
ElasticNet,ElasticNet,0,-9.535785048897516e-05,-0.0001,10.0,0.98
ElasticNet,ElasticNet,0,-9.535785048897516e-05,-0.0001,100.0,0.98
ElasticNet,ElasticNet,0,-9.535785048897516e-05,-0.0001,1000.0,0.98
ElasticNet,ElasticNet,0,-9.535785048897516e-05,-0.0001,10000.0,0.98
