Selector,Classifier,Number_of_Features,Accuracy,Performance_score
EnsembleSelector,SVC_rbf,10,0.9409190371991247,0.9409
EnsembleSelector,SVC_linear,10,0.9343544857768052,0.9344
EnsembleSelector,DecisionTreeClassifier,10,0.9201312910284464,0.9201
EnsembleSelector,XGBClassifier,10,0.9398249452954048,0.9398
EnsembleSelector,RandomForestClassifier,10,0.9135667396061269,0.9136
EnsembleSelector,LogisticRegression,10,0.9398249452954048,0.9398
EnsembleSelector,SVC_rbf,49,0.9660831509846827,0.9661
EnsembleSelector,SVC_linear,49,0.9606126914660832,0.9606
EnsembleSelector,DecisionTreeClassifier,49,0.936542669584245,0.9365
EnsembleSelector,XGBClassifier,49,0.9562363238512035,0.9562
EnsembleSelector,RandomForestClassifier,49,0.9037199124726477,0.9037
EnsembleSelector,LogisticRegression,49,0.9573304157549234,0.9573
EnsembleSelector,SVC_rbf,96,0.973741794310722,0.9737
EnsembleSelector,SVC_linear,96,0.9671772428884027,0.9672
EnsembleSelector,DecisionTreeClassifier,96,0.936542669584245,0.9365
EnsembleSelector,XGBClassifier,96,0.9649890590809628,0.965
EnsembleSelector,RandomForestClassifier,96,0.8796498905908097,0.8796
EnsembleSelector,LogisticRegression,96,0.9638949671772429,0.9639
EnsembleSelector,SVC_rbf,196,0.9781181619256017,0.9685
EnsembleSelector,SVC_linear,196,0.9682713347921226,0.9587
EnsembleSelector,DecisionTreeClassifier,196,0.937636761487965,0.928
EnsembleSelector,XGBClassifier,196,0.9660831509846827,0.9565
EnsembleSelector,RandomForestClassifier,196,0.8741794310722101,0.8646
EnsembleSelector,LogisticRegression,196,0.9693654266958425,0.9598
EnsembleSelector,SVC_rbf,489,0.9803063457330415,0.9414
EnsembleSelector,SVC_linear,489,0.9748358862144421,0.9359
EnsembleSelector,DecisionTreeClassifier,489,0.9452954048140044,0.9064
EnsembleSelector,XGBClassifier,489,0.9726477024070022,0.9337
EnsembleSelector,RandomForestClassifier,489,0.8665207877461707,0.8276
EnsembleSelector,LogisticRegression,489,0.973741794310722,0.9348
EnsembleSelector,SVC_rbf,899,0.9715536105032823,0.8917
EnsembleSelector,SVC_linear,899,0.9770240700218819,0.8971
EnsembleSelector,DecisionTreeClassifier,899,0.9463894967177243,0.8665
EnsembleSelector,XGBClassifier,899,0.9693654266958425,0.8895
EnsembleSelector,RandomForestClassifier,899,0.8676148796498906,0.7877
EnsembleSelector,LogisticRegression,899,0.973741794310722,0.8938
EnsembleSelector,SVC_rbf,1994,0.9584245076586433,0.769
EnsembleSelector,SVC_linear,1994,0.9803063457330415,0.7909
EnsembleSelector,DecisionTreeClassifier,1994,0.9452954048140044,0.7559
EnsembleSelector,XGBClassifier,1994,0.9726477024070022,0.7832
EnsembleSelector,RandomForestClassifier,1994,0.8632385120350109,0.6738
EnsembleSelector,LogisticRegression,1994,0.975929978118162,0.7865
EnsembleSelector,SVC_rbf,5033,0.9595185995623632,0.4662
EnsembleSelector,SVC_linear,5033,0.9781181619256017,0.4848
EnsembleSelector,DecisionTreeClassifier,5033,0.9452954048140044,0.452
EnsembleSelector,XGBClassifier,5033,0.9704595185995624,0.4772
EnsembleSelector,RandomForestClassifier,5033,0.8632385120350109,0.3699
EnsembleSelector,LogisticRegression,5033,0.975929978118162,0.4826
EnsembleSelector,SVC_rbf,7001,0.9595185995623632,0.2694
EnsembleSelector,SVC_linear,7001,0.9803063457330415,0.2902
EnsembleSelector,DecisionTreeClassifier,7001,0.9452954048140044,0.2552
EnsembleSelector,XGBClassifier,7001,0.973741794310722,0.2836
EnsembleSelector,RandomForestClassifier,7001,0.8632385120350109,0.1731
EnsembleSelector,LogisticRegression,7001,0.975929978118162,0.2858
