Selector,Classifier,Number_of_Features,Accuracy,Performance_score
RandomForestSelector,SVC_rbf,10,0.9409190371991247,0.9409
RandomForestSelector,SVC_linear,10,0.9354485776805251,0.9354
RandomForestSelector,DecisionTreeClassifier,10,0.9212253829321663,0.9212
RandomForestSelector,XGBClassifier,10,0.9398249452954048,0.9398
RandomForestSelector,RandomForestClassifier,10,0.9146608315098468,0.9147
RandomForestSelector,LogisticRegression,10,0.9409190371991247,0.9409
RandomForestSelector,SVC_rbf,50,0.9649890590809628,0.965
RandomForestSelector,SVC_linear,50,0.9606126914660832,0.9606
RandomForestSelector,DecisionTreeClassifier,50,0.936542669584245,0.9365
RandomForestSelector,XGBClassifier,50,0.9606126914660832,0.9606
RandomForestSelector,RandomForestClassifier,50,0.899343544857768,0.8993
RandomForestSelector,LogisticRegression,50,0.9617067833698031,0.9617
RandomForestSelector,SVC_rbf,100,0.9770240700218819,0.977
RandomForestSelector,SVC_linear,100,0.9726477024070022,0.9726
RandomForestSelector,DecisionTreeClassifier,100,0.9354485776805251,0.9354
RandomForestSelector,XGBClassifier,100,0.9682713347921226,0.9683
RandomForestSelector,RandomForestClassifier,100,0.888402625820569,0.8884
RandomForestSelector,LogisticRegression,100,0.9649890590809628,0.965
RandomForestSelector,SVC_rbf,200,0.9792122538293216,0.9692
RandomForestSelector,SVC_linear,200,0.9726477024070022,0.9626
RandomForestSelector,DecisionTreeClassifier,200,0.936542669584245,0.9265
RandomForestSelector,XGBClassifier,200,0.9726477024070022,0.9626
RandomForestSelector,RandomForestClassifier,200,0.8719912472647703,0.862
RandomForestSelector,LogisticRegression,200,0.973741794310722,0.9637
RandomForestSelector,SVC_rbf,500,0.973741794310722,0.9337
RandomForestSelector,SVC_linear,500,0.9814004376367614,0.9414
RandomForestSelector,DecisionTreeClassifier,500,0.9452954048140044,0.9053
RandomForestSelector,XGBClassifier,500,0.973741794310722,0.9337
RandomForestSelector,RandomForestClassifier,500,0.8698030634573304,0.8298
RandomForestSelector,LogisticRegression,500,0.973741794310722,0.9337
RandomForestSelector,SVC_rbf,1000,0.9638949671772429,0.8739
RandomForestSelector,SVC_linear,1000,0.9792122538293216,0.8892
RandomForestSelector,DecisionTreeClassifier,1000,0.9452954048140044,0.8553
RandomForestSelector,XGBClassifier,1000,0.9715536105032823,0.8816
RandomForestSelector,RandomForestClassifier,1000,0.8665207877461707,0.7765
RandomForestSelector,LogisticRegression,1000,0.9715536105032823,0.8816
RandomForestSelector,SVC_rbf,2000,0.9507658643326039,0.7608
RandomForestSelector,SVC_linear,2000,0.9814004376367614,0.7914
RandomForestSelector,DecisionTreeClassifier,2000,0.9442013129102844,0.7542
RandomForestSelector,XGBClassifier,2000,0.9715536105032823,0.7816
RandomForestSelector,RandomForestClassifier,2000,0.8632385120350109,0.6732
RandomForestSelector,LogisticRegression,2000,0.975929978118162,0.7859
RandomForestSelector,SVC_rbf,5000,0.9617067833698031,0.4717
RandomForestSelector,SVC_linear,5000,0.9792122538293216,0.4892
RandomForestSelector,DecisionTreeClassifier,5000,0.9463894967177243,0.4564
RandomForestSelector,XGBClassifier,5000,0.9715536105032823,0.4816
RandomForestSelector,RandomForestClassifier,5000,0.8632385120350109,0.3732
RandomForestSelector,LogisticRegression,5000,0.975929978118162,0.4859
RandomForestSelector,SVC_rbf,7000,0.9584245076586433,0.2684
RandomForestSelector,SVC_linear,7000,0.9803063457330415,0.2903
RandomForestSelector,DecisionTreeClassifier,7000,0.9452954048140044,0.2553
RandomForestSelector,XGBClassifier,7000,0.9715536105032823,0.2816
RandomForestSelector,RandomForestClassifier,7000,0.8632385120350109,0.1732
RandomForestSelector,LogisticRegression,7000,0.975929978118162,0.2859
