Selector,Classifier,Number_of_Features,Accuracy,Performance_score,Supported_Features
MutualInformationSelector,SVC_rbf,10,0.8075640050697085,0.8076,[False False False ... False False False]
MutualInformationSelector,SVC_linear,10,0.7675640050697086,0.7676,[False False False ... False False False]
MutualInformationSelector,DecisionTreeClassifier,10,0.7361977186311788,0.7362,[False False False ... False False False]
MutualInformationSelector,XGBClassifier,10,0.8096628643852979,0.8097,[False False False ... False False False]
MutualInformationSelector,RandomForestClassifier,10,0.7088314321926489,0.7088,[False False False ... False False False]
MutualInformationSelector,LogisticRegression,10,0.7869302915082382,0.7869,[False False False ... False False False]
MutualInformationSelector,SVC_rbf,20,0.854296577946768,0.8543,[False False False ... False False False]
MutualInformationSelector,SVC_linear,20,0.7955640050697085,0.7956,[False False False ... False False False]
MutualInformationSelector,DecisionTreeClassifier,20,0.7601977186311788,0.7602,[False False False ... False False False]
MutualInformationSelector,XGBClassifier,20,0.8277617237008872,0.8278,[False False False ... False False False]
MutualInformationSelector,RandomForestClassifier,20,0.6953662864385297,0.6954,[False False False ... False False False]
MutualInformationSelector,LogisticRegression,20,0.8035640050697085,0.8036,[False False False ... False False False]
MutualInformationSelector,SVC_rbf,30,0.8589302915082382,0.8589,[False False False ... False False False]
MutualInformationSelector,SVC_linear,30,0.8168314321926489,0.8168,[False False False ... False False False]
MutualInformationSelector,DecisionTreeClassifier,30,0.7848314321926488,0.7848,[False False False ... False False False]
MutualInformationSelector,XGBClassifier,30,0.8700988593155894,0.8701,[False False False ... False False False]
MutualInformationSelector,RandomForestClassifier,30,0.6353662864385298,0.6354,[False False False ... False False False]
MutualInformationSelector,LogisticRegression,30,0.8340988593155894,0.8341,[False False False ... False False False]
MutualInformationSelector,SVC_rbf,50,0.8848314321926489,0.8848,[False False False ... False False False]
MutualInformationSelector,SVC_linear,50,0.8420988593155894,0.8421,[False False False ... False False False]
MutualInformationSelector,DecisionTreeClassifier,50,0.7848314321926488,0.7848,[False False False ... False False False]
MutualInformationSelector,XGBClassifier,50,0.8694651457541192,0.8695,[False False False ... False False False]
MutualInformationSelector,RandomForestClassifier,50,0.628,0.628,[False False False ... False False False]
MutualInformationSelector,LogisticRegression,50,0.8627325728770596,0.8627,[False False False ... False False False]
MutualInformationSelector,SVC_rbf,75,0.9016628643852977,0.9017,[False False False ... False False False]
MutualInformationSelector,SVC_linear,75,0.8587325728770596,0.8587,[False False False ... False False False]
MutualInformationSelector,DecisionTreeClassifier,75,0.7848314321926488,0.7848,[False False False ... False False False]
MutualInformationSelector,XGBClassifier,75,0.8768314321926489,0.8768,[False False False ... False False False]
MutualInformationSelector,RandomForestClassifier,75,0.5680000000000001,0.568,[False False False ... False False False]
MutualInformationSelector,LogisticRegression,75,0.8627325728770596,0.8627,[False False False ... False False False]
MutualInformationSelector,SVC_rbf,100,0.8776628643852978,0.8777,[False False False ... False False False]
MutualInformationSelector,SVC_linear,100,0.8494651457541191,0.8495,[False False False ... False False False]
MutualInformationSelector,DecisionTreeClassifier,100,0.7808314321926488,0.7808,[False False False ... False False False]
MutualInformationSelector,XGBClassifier,100,0.8494651457541191,0.8495,[False False False ... False False False]
MutualInformationSelector,RandomForestClassifier,100,0.5753662864385297,0.5754,[False False False ... False False False]
MutualInformationSelector,LogisticRegression,100,0.8347325728770596,0.8347,[False False False ... False False False]
MutualInformationSelector,SVC_rbf,200,0.8993257287705957,0.8893,[False False False ... False False False]
MutualInformationSelector,SVC_linear,200,0.8568314321926489,0.8468,[False False False ... False False False]
MutualInformationSelector,DecisionTreeClassifier,200,0.7888314321926488,0.7788,[False False False ... False False False]
MutualInformationSelector,XGBClassifier,200,0.8700988593155894,0.8601,[False False False ... False False False]
MutualInformationSelector,RandomForestClassifier,200,0.54,0.53,[False False False ... False False False]
MutualInformationSelector,LogisticRegression,200,0.8627325728770596,0.8527,[False False False ... False False False]
