Selector,Classifier,Number_of_Features,Accuracy,Performance_score
PCA,SVC_rbf,10,0.9121977186311787,0.9122
PCA,SVC_linear,10,0.8940988593155894,0.8941
PCA,DecisionTreeClassifier,10,0.9290291508238276,0.929
PCA,XGBClassifier,10,0.9414651457541192,0.9415
PCA,RandomForestClassifier,10,0.9014651457541192,0.9015
PCA,LogisticRegression,10,0.8707325728770596,0.8707
PCA,SVC_rbf,20,0.9060988593155893,0.9061
PCA,SVC_linear,20,0.8987325728770597,0.8987
PCA,DecisionTreeClassifier,20,0.9416628643852978,0.9417
PCA,XGBClassifier,20,0.9374651457541192,0.9375
PCA,RandomForestClassifier,20,0.8580988593155894,0.8581
PCA,LogisticRegression,20,0.8953662864385298,0.8954
PCA,SVC_rbf,50,0.9180988593155893,0.9181
PCA,SVC_linear,50,0.9254651457541192,0.9255
PCA,DecisionTreeClassifier,50,0.936831432192649,0.9368
PCA,XGBClassifier,50,0.9494651457541192,0.9495
PCA,RandomForestClassifier,50,0.8667325728770596,0.8667
PCA,LogisticRegression,50,0.9153662864385297,0.9154
PCA,SVC_rbf,80,0.9233662864385297,0.9234
PCA,SVC_linear,80,0.9300988593155893,0.9301
PCA,DecisionTreeClassifier,80,0.8980988593155894,0.8981
PCA,XGBClassifier,80,0.9374651457541192,0.9375
PCA,RandomForestClassifier,80,0.8233662864385298,0.8234
PCA,LogisticRegression,80,0.9153662864385297,0.9154
