Selector,Classifier,Number_of_Features,Accuracy,Performance_score,alpha,l1_ratio,Supported_Features
ElasticNet,ElasticNet,498,0.530849358974359,0.491,0.001,0.5,True
ElasticNet,ElasticNet,476,0.530849358974359,0.4932,0.01,0.5,False
ElasticNet,ElasticNet,418,0.539863782051282,0.5081,0.05,0.5,False
ElasticNet,ElasticNet,360,0.5514823717948718,0.5255,0.1,0.5,False
ElasticNet,ElasticNet,146,0.5643028846153846,0.5597,0.5,0.5,False
ElasticNet,ElasticNet,56,0.5725160256410255,0.5725,1.0,0.5,False
ElasticNet,ElasticNet,2,0.5979567307692308,0.598,10.0,0.5,False
ElasticNet,ElasticNet,497,0.530849358974359,0.4911,0.001,0.7,True
ElasticNet,ElasticNet,467,0.5336538461538461,0.497,0.01,0.7,False
ElasticNet,ElasticNet,393,0.546875,0.5176,0.05,0.7,False
ElasticNet,ElasticNet,319,0.5514823717948718,0.5296,0.1,0.7,False
ElasticNet,ElasticNet,102,0.5392628205128205,0.5391,0.5,0.7,False
ElasticNet,ElasticNet,27,0.5967548076923077,0.5968,1.0,0.7,False
ElasticNet,ElasticNet,2,0.5905448717948718,0.5905,10.0,0.7,False
ElasticNet,ElasticNet,496,0.530849358974359,0.4912,0.001,0.9,True
ElasticNet,ElasticNet,463,0.5338541666666667,0.4976,0.01,0.9,False
ElasticNet,ElasticNet,370,0.554286858974359,0.5273,0.05,0.9,False
ElasticNet,ElasticNet,288,0.5536858974358975,0.5349,0.1,0.9,False
ElasticNet,ElasticNet,67,0.5570913461538461,0.5571,0.5,0.9,False
ElasticNet,ElasticNet,12,0.6073717948717949,0.6074,1.0,0.9,False
ElasticNet,ElasticNet,1,0.5,0.5,10.0,0.9,False
