Selector,Classifier,Number_of_Features,Accuracy,Performance_score,Supported_Features
list,SVC_rbf,10,0.8237179487179487,0.8137,"[ True  True  True  True  True  True False  True False False  True False
 False False False  True False False  True False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False]"
list,SVC_linear,10,0.6137820512820513,0.6038,"[ True  True  True  True  True  True False  True False False  True False
 False False False  True False False  True False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False]"
list,DecisionTreeClassifier,10,0.7642227564102564,0.7542,"[ True  True  True  True  True  True False  True False False  True False
 False False False  True False False  True False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False]"
list,XGBClassifier,10,0.852363782051282,0.8424,"[ True  True  True  True  True  True False  True False False  True False
 False False False  True False False  True False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False]"
list,RandomForestClassifier,10,0.7229567307692308,0.713,"[ True  True  True  True  True  True False  True False False  True False
 False False False  True False False  True False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False]"
list,LogisticRegression,10,0.6113782051282051,0.6014,"[ True  True  True  True  True  True False  True False False  True False
 False False False  True False False  True False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False]"
list,SVC_rbf,25,0.7900641025641025,0.7501,"[ True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True False  True False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False  True False False False False False False False False False
 False False False False False  True False False  True False  True False
 False False False False False False False False False False False False
 False False False False]"
list,SVC_linear,25,0.5969551282051282,0.557,"[ True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True False  True False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False  True False False False False False False False False False
 False False False False False  True False False  True False  True False
 False False False False False False False False False False False False
 False False False False]"
list,DecisionTreeClassifier,25,0.7622195512820513,0.7222,"[ True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True False  True False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False  True False False False False False False False False False
 False False False False False  True False False  True False  True False
 False False False False False False False False False False False False
 False False False False]"
list,XGBClassifier,25,0.8193108974358975,0.7793,"[ True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True False  True False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False  True False False False False False False False False False
 False False False False False  True False False  True False  True False
 False False False False False False False False False False False False
 False False False False]"
list,RandomForestClassifier,25,0.6985176282051282,0.6585,"[ True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True False  True False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False  True False False False False False False False False False
 False False False False False  True False False  True False  True False
 False False False False False False False False False False False False
 False False False False]"
list,LogisticRegression,25,0.5675080128205128,0.5275,"[ True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True False  True False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False  True False False False False False False False False False
 False False False False False  True False False  True False  True False
 False False False False False False False False False False False False
 False False False False]"
