Selector,Classifier,Number_of_Features,Accuracy,Performance_score
SelectKBest_f_classif,SVC_rbf,200,0.9475640050697084,0.9376
BorutaPy,SVC_rbf,165,0.9414651457541192,0.935
SelectKBest_chi2,SVC_rbf,200,0.9441977186311789,0.9342
CorrelationSelector,SVC_rbf,200,0.9475640050697084,0.9376
ElasticNet,ElasticNet,207,0.8947325728770597,0.884
EnsembleSelector,SVC_rbf,195,0.9475640050697084,0.9381
RandomForestSelector,SVC_rbf,200,0.9441977186311789,0.9342
Lasso,Lasso,290,0.9534651457541192,0.9345
MutualInformationSelector,SVC_rbf,75,0.9016628643852976,0.9017
PCA,XGBClassifier,75,0.9494651457541192,0.9495
RFE,SVC_rbf,100,0.8344942965779467,0.8345
Stack,XGBClassifier,25,0.8768314321926489,0.8368
