Selector,Classifier,Number_of_Features,Accuracy,Performance_score,Supported_Features
SelectKBest_chi2,SVC_rbf,10,0.7549302915082383,0.7549,[False False False ... False False False]
SelectKBest_chi2,SVC_linear,10,0.7618605830164766,0.7619,[False False False ... False False False]
SelectKBest_chi2,DecisionTreeClassifier,10,0.7281977186311788,0.7282,[False False False ... False False False]
SelectKBest_chi2,XGBClassifier,10,0.7549302915082383,0.7549,[False False False ... False False False]
SelectKBest_chi2,RandomForestClassifier,10,0.6835640050697085,0.6836,[False False False ... False False False]
SelectKBest_chi2,LogisticRegression,10,0.7561977186311788,0.7562,[False False False ... False False False]
SelectKBest_chi2,SVC_rbf,20,0.7888314321926488,0.7888,[False False False ... False False False]
SelectKBest_chi2,SVC_linear,20,0.7841977186311787,0.7842,[False False False ... False False False]
SelectKBest_chi2,DecisionTreeClassifier,20,0.7374651457541191,0.7375,[False False False ... False False False]
SelectKBest_chi2,XGBClassifier,20,0.8022965779467681,0.8023,[False False False ... False False False]
SelectKBest_chi2,RandomForestClassifier,20,0.6467325728770595,0.6467,[False False False ... False False False]
SelectKBest_chi2,LogisticRegression,20,0.8081977186311787,0.8082,[False False False ... False False False]
SelectKBest_chi2,SVC_rbf,30,0.8408314321926489,0.8408,[False False False ... False False False]
SelectKBest_chi2,SVC_linear,30,0.8029302915082382,0.8029,[False False False ... False False False]
SelectKBest_chi2,DecisionTreeClassifier,30,0.7208314321926489,0.7208,[False False False ... False False False]
SelectKBest_chi2,XGBClassifier,30,0.8248314321926489,0.8248,[False False False ... False False False]
SelectKBest_chi2,RandomForestClassifier,30,0.6627325728770596,0.6627,[False False False ... False False False]
SelectKBest_chi2,LogisticRegression,30,0.7774651457541192,0.7775,[False False False ... False False False]
SelectKBest_chi2,SVC_rbf,50,0.8995640050697085,0.8996,[False  True False ... False False False]
SelectKBest_chi2,SVC_linear,50,0.8587325728770596,0.8587,[False  True False ... False False False]
SelectKBest_chi2,DecisionTreeClassifier,50,0.7161977186311788,0.7162,[False  True False ... False False False]
SelectKBest_chi2,XGBClassifier,50,0.8694651457541192,0.8695,[False  True False ... False False False]
SelectKBest_chi2,RandomForestClassifier,50,0.6153662864385298,0.6154,[False  True False ... False False False]
SelectKBest_chi2,LogisticRegression,50,0.8547325728770596,0.8547,[False  True False ... False False False]
SelectKBest_chi2,SVC_rbf,75,0.9041977186311787,0.9042,[False  True False ... False False False]
SelectKBest_chi2,SVC_linear,75,0.8860988593155894,0.8861,[False  True False ... False False False]
SelectKBest_chi2,DecisionTreeClassifier,75,0.7374651457541191,0.7375,[False  True False ... False False False]
SelectKBest_chi2,XGBClassifier,75,0.8747325728770596,0.8747,[False  True False ... False False False]
SelectKBest_chi2,RandomForestClassifier,75,0.5753662864385297,0.5754,[False  True False ... False False False]
SelectKBest_chi2,LogisticRegression,75,0.8707325728770596,0.8707,[False  True False ... False False False]
SelectKBest_chi2,SVC_rbf,100,0.9107325728770596,0.9107,[False  True False ... False False False]
SelectKBest_chi2,SVC_linear,100,0.8747325728770596,0.8747,[False  True False ... False False False]
SelectKBest_chi2,DecisionTreeClassifier,100,0.7595640050697086,0.7596,[False  True False ... False False False]
SelectKBest_chi2,XGBClassifier,100,0.8574651457541191,0.8575,[False  True False ... False False False]
SelectKBest_chi2,RandomForestClassifier,100,0.576,0.576,[False  True False ... False False False]
SelectKBest_chi2,LogisticRegression,100,0.8667325728770596,0.8667,[False  True False ... False False False]
SelectKBest_chi2,SVC_rbf,200,0.9441977186311787,0.9342,[ True  True False ... False False False]
SelectKBest_chi2,SVC_linear,200,0.8867325728770596,0.8767,[ True  True False ... False False False]
SelectKBest_chi2,DecisionTreeClassifier,200,0.7808314321926488,0.7708,[ True  True False ... False False False]
SelectKBest_chi2,XGBClassifier,200,0.8860988593155894,0.8761,[ True  True False ... False False False]
SelectKBest_chi2,RandomForestClassifier,200,0.5353662864385298,0.5254,[ True  True False ... False False False]
SelectKBest_chi2,LogisticRegression,200,0.8833662864385298,0.8734,[ True  True False ... False False False]
