Selector,Classifier,Number_of_Features,Accuracy,Performance_score,Supported_Features
CorrelationSelector,SVC_rbf,10,0.8142965779467681,0.8143,[False False False ... False False False]
CorrelationSelector,SVC_linear,10,0.7768314321926489,0.7768,[False False False ... False False False]
CorrelationSelector,DecisionTreeClassifier,10,0.7315640050697085,0.7316,[False False False ... False False False]
CorrelationSelector,XGBClassifier,10,0.8102965779467681,0.8103,[False False False ... False False False]
CorrelationSelector,RandomForestClassifier,10,0.6995640050697085,0.6996,[False False False ... False False False]
CorrelationSelector,LogisticRegression,10,0.8001977186311787,0.8002,[False False False ... False False False]
CorrelationSelector,SVC_rbf,20,0.8534651457541191,0.8535,[False False False ... False False False]
CorrelationSelector,SVC_linear,20,0.8201977186311787,0.8202,[False False False ... False False False]
CorrelationSelector,DecisionTreeClassifier,20,0.7700988593155893,0.7701,[False False False ... False False False]
CorrelationSelector,XGBClassifier,20,0.8500988593155894,0.8501,[False False False ... False False False]
CorrelationSelector,RandomForestClassifier,20,0.6793662864385297,0.6794,[False False False ... False False False]
CorrelationSelector,LogisticRegression,20,0.8161977186311787,0.8162,[False False False ... False False False]
CorrelationSelector,SVC_rbf,30,0.8768314321926489,0.8768,[False False False ... False False False]
CorrelationSelector,SVC_linear,30,0.8334651457541191,0.8335,[False False False ... False False False]
CorrelationSelector,DecisionTreeClassifier,30,0.7808314321926488,0.7808,[False False False ... False False False]
CorrelationSelector,XGBClassifier,30,0.8688314321926489,0.8688,[False False False ... False False False]
CorrelationSelector,RandomForestClassifier,30,0.6273662864385298,0.6274,[False False False ... False False False]
CorrelationSelector,LogisticRegression,30,0.8507325728770596,0.8507,[False False False ... False False False]
CorrelationSelector,SVC_rbf,50,0.9014651457541192,0.9015,[False False False ... False False False]
CorrelationSelector,SVC_linear,50,0.8667325728770596,0.8667,[False False False ... False False False]
CorrelationSelector,DecisionTreeClassifier,50,0.7848314321926488,0.7848,[False False False ... False False False]
CorrelationSelector,XGBClassifier,50,0.8614651457541191,0.8615,[False False False ... False False False]
CorrelationSelector,RandomForestClassifier,50,0.6233662864385298,0.6234,[False False False ... False False False]
CorrelationSelector,LogisticRegression,50,0.8580988593155894,0.8581,[False False False ... False False False]
CorrelationSelector,SVC_rbf,75,0.9060988593155893,0.9061,[False  True False ... False False False]
CorrelationSelector,SVC_linear,75,0.8627325728770596,0.8627,[False  True False ... False False False]
CorrelationSelector,DecisionTreeClassifier,75,0.7848314321926488,0.7848,[False  True False ... False False False]
CorrelationSelector,XGBClassifier,75,0.8734651457541192,0.8735,[False  True False ... False False False]
CorrelationSelector,RandomForestClassifier,75,0.5793662864385297,0.5794,[False  True False ... False False False]
CorrelationSelector,LogisticRegression,75,0.8580988593155894,0.8581,[False  True False ... False False False]
CorrelationSelector,SVC_rbf,100,0.9174651457541192,0.9175,[False  True False ... False False False]
CorrelationSelector,SVC_linear,100,0.8827325728770596,0.8827,[False  True False ... False False False]
CorrelationSelector,DecisionTreeClassifier,100,0.7848314321926488,0.7848,[False  True False ... False False False]
CorrelationSelector,XGBClassifier,100,0.8787325728770596,0.8787,[False  True False ... False False False]
CorrelationSelector,RandomForestClassifier,100,0.5713662864385297,0.5714,[False  True False ... False False False]
CorrelationSelector,LogisticRegression,100,0.8667325728770596,0.8667,[False  True False ... False False False]
CorrelationSelector,SVC_rbf,200,0.9475640050697085,0.9376,[ True  True False ... False False False]
CorrelationSelector,SVC_linear,200,0.8907325728770596,0.8807,[ True  True False ... False False False]
CorrelationSelector,DecisionTreeClassifier,200,0.7888314321926488,0.7788,[ True  True False ... False False False]
CorrelationSelector,XGBClassifier,200,0.8894651457541192,0.8795,[ True  True False ... False False False]
CorrelationSelector,RandomForestClassifier,200,0.536,0.526,[ True  True False ... False False False]
CorrelationSelector,LogisticRegression,200,0.8947325728770597,0.8847,[ True  True False ... False False False]
