Selector,Classifier,Number_of_Features,Accuracy,Performance_score,alpha,l1_ratio,Supported_Features
ElasticNet,ElasticNet,207,0.8947325728770597,0.884,0.001,0.5,False
ElasticNet,ElasticNet,35,0.7460988593155893,0.7461,0.01,0.5,False
ElasticNet,ElasticNet,3,0.5060988593155893,0.5061,0.05,0.5,False
ElasticNet,ElasticNet,1,0.5,0.5,0.1,0.5,False
ElasticNet,ElasticNet,0,0.5,0.5,0.5,0.5,False
ElasticNet,ElasticNet,0,0.5,0.5,1.0,0.5,False
ElasticNet,ElasticNet,0,0.5,0.5,10.0,0.5,False
ElasticNet,ElasticNet,155,0.8854651457541192,0.88,0.001,0.7,False
ElasticNet,ElasticNet,20,0.7180988593155894,0.7181,0.01,0.7,False
ElasticNet,ElasticNet,2,0.5,0.5,0.05,0.7,False
ElasticNet,ElasticNet,0,0.5,0.5,0.1,0.7,False
ElasticNet,ElasticNet,0,0.5,0.5,0.5,0.7,False
ElasticNet,ElasticNet,0,0.5,0.5,1.0,0.7,False
ElasticNet,ElasticNet,0,0.5,0.5,10.0,0.7,False
ElasticNet,ElasticNet,122,0.8814651457541192,0.8793,0.001,0.9,False
ElasticNet,ElasticNet,17,0.6747325728770596,0.6747,0.01,0.9,False
ElasticNet,ElasticNet,2,0.5,0.5,0.05,0.9,False
ElasticNet,ElasticNet,0,0.5,0.5,0.1,0.9,False
ElasticNet,ElasticNet,0,0.5,0.5,0.5,0.9,False
ElasticNet,ElasticNet,0,0.5,0.5,1.0,0.9,False
ElasticNet,ElasticNet,0,0.5,0.5,10.0,0.9,False
