Selector,Classifier,Number_of_Features,Accuracy,Performance_score,Supported_Features
EnsembleSelector,SVC_rbf,10,0.8142965779467681,0.8143,[False False False ... False False False]
EnsembleSelector,SVC_linear,10,0.7768314321926489,0.7768,[False False False ... False False False]
EnsembleSelector,DecisionTreeClassifier,10,0.7315640050697085,0.7316,[False False False ... False False False]
EnsembleSelector,XGBClassifier,10,0.8102965779467681,0.8103,[False False False ... False False False]
EnsembleSelector,RandomForestClassifier,10,0.7075640050697085,0.7076,[False False False ... False False False]
EnsembleSelector,LogisticRegression,10,0.8001977186311787,0.8002,[False False False ... False False False]
EnsembleSelector,SVC_rbf,20,0.8448314321926489,0.8448,[False False False ... False False False]
EnsembleSelector,SVC_linear,20,0.7795640050697085,0.7796,[False False False ... False False False]
EnsembleSelector,DecisionTreeClassifier,20,0.7700988593155893,0.7701,[False False False ... False False False]
EnsembleSelector,XGBClassifier,20,0.8454651457541191,0.8455,[False False False ... False False False]
EnsembleSelector,RandomForestClassifier,20,0.6553662864385298,0.6554,[False False False ... False False False]
EnsembleSelector,LogisticRegression,20,0.7955640050697085,0.7956,[False False False ... False False False]
EnsembleSelector,SVC_rbf,29,0.8808314321926489,0.8808,[False False False ... False False False]
EnsembleSelector,SVC_linear,29,0.8334651457541191,0.8335,[False False False ... False False False]
EnsembleSelector,DecisionTreeClassifier,29,0.7808314321926488,0.7808,[False False False ... False False False]
EnsembleSelector,XGBClassifier,29,0.8688314321926489,0.8688,[False False False ... False False False]
EnsembleSelector,RandomForestClassifier,29,0.6113662864385297,0.6114,[False False False ... False False False]
EnsembleSelector,LogisticRegression,29,0.8507325728770596,0.8507,[False False False ... False False False]
EnsembleSelector,SVC_rbf,49,0.8894651457541192,0.8895,[False False False ... False False False]
EnsembleSelector,SVC_linear,49,0.8627325728770596,0.8627,[False False False ... False False False]
EnsembleSelector,DecisionTreeClassifier,49,0.7848314321926488,0.7848,[False False False ... False False False]
EnsembleSelector,XGBClassifier,49,0.8534651457541191,0.8535,[False False False ... False False False]
EnsembleSelector,RandomForestClassifier,49,0.6513662864385298,0.6514,[False False False ... False False False]
EnsembleSelector,LogisticRegression,49,0.8540988593155894,0.8541,[False False False ... False False False]
EnsembleSelector,SVC_rbf,75,0.9054651457541192,0.9055,[False  True False ... False False False]
EnsembleSelector,SVC_linear,75,0.8627325728770596,0.8627,[False  True False ... False False False]
EnsembleSelector,DecisionTreeClassifier,75,0.7848314321926488,0.7848,[False  True False ... False False False]
EnsembleSelector,XGBClassifier,75,0.8734651457541192,0.8735,[False  True False ... False False False]
EnsembleSelector,RandomForestClassifier,75,0.572,0.572,[False  True False ... False False False]
EnsembleSelector,LogisticRegression,75,0.8540988593155894,0.8541,[False  True False ... False False False]
EnsembleSelector,SVC_rbf,97,0.9174651457541192,0.9175,[False  True False ... False False False]
EnsembleSelector,SVC_linear,97,0.8867325728770596,0.8867,[False  True False ... False False False]
EnsembleSelector,DecisionTreeClassifier,97,0.7848314321926488,0.7848,[False  True False ... False False False]
EnsembleSelector,XGBClassifier,97,0.8787325728770596,0.8787,[False  True False ... False False False]
EnsembleSelector,RandomForestClassifier,97,0.5633662864385298,0.5634,[False  True False ... False False False]
EnsembleSelector,LogisticRegression,97,0.8747325728770596,0.8747,[False  True False ... False False False]
EnsembleSelector,SVC_rbf,195,0.9475640050697085,0.9381,[ True  True False ... False False False]
EnsembleSelector,SVC_linear,195,0.8867325728770596,0.8772,[ True  True False ... False False False]
EnsembleSelector,DecisionTreeClassifier,195,0.7888314321926488,0.7793,[ True  True False ... False False False]
EnsembleSelector,XGBClassifier,195,0.8894651457541192,0.88,[ True  True False ... False False False]
EnsembleSelector,RandomForestClassifier,195,0.536,0.5265,[ True  True False ... False False False]
EnsembleSelector,LogisticRegression,195,0.8947325728770597,0.8852,[ True  True False ... False False False]
