Selector,Classifier,Number_of_Features,Accuracy,Performance_score
CorrelationSelector,SVC_rbf,10,0.8137019230769231,0.8037
CorrelationSelector,SVC_linear,10,0.6209935897435898,0.611
CorrelationSelector,DecisionTreeClassifier,10,0.7021233974358975,0.6921
CorrelationSelector,XGBClassifier,10,0.8223157051282051,0.8123
CorrelationSelector,RandomForestClassifier,10,0.7003205128205128,0.6903
CorrelationSelector,LogisticRegression,10,0.6033653846153846,0.5934
CorrelationSelector,SVC_rbf,50,0.6316105769230769,0.5416
CorrelationSelector,SVC_linear,50,0.5570913461538461,0.4671
CorrelationSelector,DecisionTreeClassifier,50,0.7145432692307692,0.6245
CorrelationSelector,XGBClassifier,50,0.7477964743589745,0.6578
CorrelationSelector,RandomForestClassifier,50,0.6280048076923077,0.538
CorrelationSelector,LogisticRegression,50,0.5612980769230769,0.4713
CorrelationSelector,SVC_rbf,100,0.5943509615384616,0.4044
CorrelationSelector,SVC_linear,100,0.5612980769230769,0.3713
CorrelationSelector,DecisionTreeClassifier,100,0.7181490384615384,0.5281
CorrelationSelector,XGBClassifier,100,0.7700320512820513,0.58
CorrelationSelector,RandomForestClassifier,100,0.6284054487179487,0.4384
CorrelationSelector,LogisticRegression,100,0.5552884615384616,0.3653
CorrelationSelector,SVC_rbf,200,0.5681089743589745,0.1781
CorrelationSelector,SVC_linear,200,0.555488782051282,0.1655
CorrelationSelector,DecisionTreeClassifier,200,0.7025240384615384,0.3125
CorrelationSelector,XGBClassifier,200,0.758213141025641,0.3682
CorrelationSelector,RandomForestClassifier,200,0.6346153846153846,0.2446
CorrelationSelector,LogisticRegression,200,0.538261217948718,0.1483
CorrelationSelector,SVC_rbf,500,0.5683092948717949,-0.4217
CorrelationSelector,SVC_linear,500,0.5218349358974359,-0.4682
CorrelationSelector,DecisionTreeClassifier,500,0.734375,-0.2556
CorrelationSelector,XGBClassifier,500,0.805088141025641,-0.1849
CorrelationSelector,RandomForestClassifier,500,0.6316105769230769,-0.3584
CorrelationSelector,LogisticRegression,500,0.524238782051282,-0.4658
CorrelationSelector,SVC_rbf,500,0.5683092948717949,-0.4217
CorrelationSelector,SVC_linear,500,0.5218349358974359,-0.4682
CorrelationSelector,DecisionTreeClassifier,500,0.734375,-0.2556
CorrelationSelector,XGBClassifier,500,0.805088141025641,-0.1849
CorrelationSelector,RandomForestClassifier,500,0.6316105769230769,-0.3584
CorrelationSelector,LogisticRegression,500,0.524238782051282,-0.4658
CorrelationSelector,SVC_rbf,500,0.5683092948717949,-0.4217
CorrelationSelector,SVC_linear,500,0.5218349358974359,-0.4682
CorrelationSelector,DecisionTreeClassifier,500,0.734375,-0.2556
CorrelationSelector,XGBClassifier,500,0.805088141025641,-0.1849
CorrelationSelector,RandomForestClassifier,500,0.6316105769230769,-0.3584
CorrelationSelector,LogisticRegression,500,0.524238782051282,-0.4658
CorrelationSelector,SVC_rbf,500,0.5683092948717949,-0.4217
CorrelationSelector,SVC_linear,500,0.5218349358974359,-0.4682
CorrelationSelector,DecisionTreeClassifier,500,0.734375,-0.2556
CorrelationSelector,XGBClassifier,500,0.805088141025641,-0.1849
CorrelationSelector,RandomForestClassifier,500,0.6316105769230769,-0.3584
CorrelationSelector,LogisticRegression,500,0.524238782051282,-0.4658
CorrelationSelector,SVC_rbf,500,0.5683092948717949,-0.4217
CorrelationSelector,SVC_linear,500,0.5218349358974359,-0.4682
CorrelationSelector,DecisionTreeClassifier,500,0.734375,-0.2556
CorrelationSelector,XGBClassifier,500,0.805088141025641,-0.1849
CorrelationSelector,RandomForestClassifier,500,0.6316105769230769,-0.3584
CorrelationSelector,LogisticRegression,500,0.524238782051282,-0.4658
