Selector,Classifier,Number_of_Features,Accuracy,Performance_score,alpha,l1_ratio
ElasticNet,ElasticNet,500,-0.3170493642698266,-0.357,0.0001,0.9
ElasticNet,ElasticNet,496,-0.310128543123056,-0.3497,0.001,0.9
ElasticNet,ElasticNet,463,-0.2534699736580224,-0.2898,0.01,0.9
ElasticNet,ElasticNet,288,-0.0831305401474491,-0.1019,0.1,0.9
ElasticNet,ElasticNet,12,0.0453682826093198,0.0454,1.0,0.9
ElasticNet,ElasticNet,1,-0.0020730928477734,-0.0021,10.0,0.9
ElasticNet,ElasticNet,0,-0.0024412183567863,-0.0024,100.0,0.9
ElasticNet,ElasticNet,0,-0.0024412183567863,-0.0024,1000.0,0.9
ElasticNet,ElasticNet,0,-0.0024412183567863,-0.0024,10000.0,0.9
ElasticNet,ElasticNet,500,-0.3170060383261519,-0.357,0.0001,0.95
ElasticNet,ElasticNet,496,-0.3097094540445311,-0.3493,0.001,0.95
ElasticNet,ElasticNet,459,-0.2506883260827028,-0.2866,0.01,0.95
ElasticNet,ElasticNet,282,-0.0796978767812841,-0.0979,0.1,0.95
ElasticNet,ElasticNet,11,0.0456703072802416,0.0457,1.0,0.95
ElasticNet,ElasticNet,0,-0.0024412183567863,-0.0024,10.0,0.95
ElasticNet,ElasticNet,0,-0.0024412183567863,-0.0024,100.0,0.95
ElasticNet,ElasticNet,0,-0.0024412183567863,-0.0024,1000.0,0.95
ElasticNet,ElasticNet,0,-0.0024412183567863,-0.0024,10000.0,0.95
ElasticNet,ElasticNet,500,-0.3169800492847765,-0.357,0.0001,0.98
ElasticNet,ElasticNet,496,-0.3094580526233972,-0.3491,0.001,0.98
ElasticNet,ElasticNet,458,-0.248959677856434,-0.2848,0.01,0.98
ElasticNet,ElasticNet,281,-0.0777668624120988,-0.0959,0.1,0.98
ElasticNet,ElasticNet,9,0.0457892127376987,0.0458,1.0,0.98
ElasticNet,ElasticNet,0,-0.0024412183567863,-0.0024,10.0,0.98
ElasticNet,ElasticNet,0,-0.0024412183567863,-0.0024,100.0,0.98
ElasticNet,ElasticNet,0,-0.0024412183567863,-0.0024,1000.0,0.98
ElasticNet,ElasticNet,0,-0.0024412183567863,-0.0024,10000.0,0.98
