Selector,Classifier,Number_of_Features,Accuracy,Performance_score
RandomForestSelector,SVC_rbf,10,0.825,0.825
RandomForestSelector,SVC_linear,10,0.6225,0.6225
RandomForestSelector,DecisionTreeClassifier,10,0.7125,0.7125
RandomForestSelector,XGBClassifier,10,0.82,0.82
RandomForestSelector,RandomForestClassifier,10,0.71,0.71
RandomForestSelector,LogisticRegression,10,0.5975,0.5975
RandomForestSelector,SVC_rbf,50,0.7325,0.7325
RandomForestSelector,SVC_linear,50,0.595,0.595
RandomForestSelector,DecisionTreeClassifier,50,0.7475,0.7475
RandomForestSelector,XGBClassifier,50,0.805,0.805
RandomForestSelector,RandomForestClassifier,50,0.6575,0.6575
RandomForestSelector,LogisticRegression,50,0.56,0.56
RandomForestSelector,SVC_rbf,100,0.6525,0.6525
RandomForestSelector,SVC_linear,100,0.5475,0.5475
RandomForestSelector,DecisionTreeClassifier,100,0.7575,0.7575
RandomForestSelector,XGBClassifier,100,0.795,0.795
RandomForestSelector,RandomForestClassifier,100,0.64,0.64
RandomForestSelector,LogisticRegression,100,0.5225,0.5225
RandomForestSelector,SVC_rbf,200,0.5925,0.5825
RandomForestSelector,SVC_linear,200,0.53,0.52
RandomForestSelector,DecisionTreeClassifier,200,0.765,0.755
RandomForestSelector,XGBClassifier,200,0.7925,0.7825
RandomForestSelector,RandomForestClassifier,200,0.61,0.6
RandomForestSelector,LogisticRegression,200,0.53,0.52
RandomForestSelector,SVC_rbf,500,0.5675,0.5275
RandomForestSelector,SVC_linear,500,0.52,0.48
RandomForestSelector,DecisionTreeClassifier,500,0.735,0.695
RandomForestSelector,XGBClassifier,500,0.8,0.76
RandomForestSelector,RandomForestClassifier,500,0.6125,0.5725
RandomForestSelector,LogisticRegression,500,0.5325,0.4925
RandomForestSelector,SVC_rbf,500,0.5675,0.5275
RandomForestSelector,SVC_linear,500,0.52,0.48
RandomForestSelector,DecisionTreeClassifier,500,0.735,0.695
RandomForestSelector,XGBClassifier,500,0.8,0.76
RandomForestSelector,RandomForestClassifier,500,0.6125,0.5725
RandomForestSelector,LogisticRegression,500,0.5325,0.4925
RandomForestSelector,SVC_rbf,500,0.5675,0.5275
RandomForestSelector,SVC_linear,500,0.52,0.48
RandomForestSelector,DecisionTreeClassifier,500,0.735,0.695
RandomForestSelector,XGBClassifier,500,0.8,0.76
RandomForestSelector,RandomForestClassifier,500,0.6125,0.5725
RandomForestSelector,LogisticRegression,500,0.5325,0.4925
RandomForestSelector,SVC_rbf,500,0.5675,0.5275
RandomForestSelector,SVC_linear,500,0.52,0.48
RandomForestSelector,DecisionTreeClassifier,500,0.735,0.695
RandomForestSelector,XGBClassifier,500,0.8,0.76
RandomForestSelector,RandomForestClassifier,500,0.6125,0.5725
RandomForestSelector,LogisticRegression,500,0.5325,0.4925
RandomForestSelector,SVC_rbf,500,0.5675,0.5275
RandomForestSelector,SVC_linear,500,0.52,0.48
RandomForestSelector,DecisionTreeClassifier,500,0.735,0.695
RandomForestSelector,XGBClassifier,500,0.8,0.76
RandomForestSelector,RandomForestClassifier,500,0.6125,0.5725
RandomForestSelector,LogisticRegression,500,0.5325,0.4925
