Selector,Classifier,Number_of_Features,Accuracy,Performance_score
PCA,SVC_rbf,10,0.7975,0.7975
PCA,SVC_linear,10,0.625,0.625
PCA,DecisionTreeClassifier,10,0.685,0.685
PCA,XGBClassifier,10,0.81,0.81
PCA,RandomForestClassifier,10,0.665,0.665
PCA,LogisticRegression,10,0.6225,0.6225
PCA,SVC_rbf,20,0.7575,0.7575
PCA,SVC_linear,20,0.6225,0.6225
PCA,DecisionTreeClassifier,20,0.7125,0.7125
PCA,XGBClassifier,20,0.75,0.75
PCA,RandomForestClassifier,20,0.6375,0.6375
PCA,LogisticRegression,20,0.62,0.62
PCA,SVC_rbf,50,0.67,0.67
PCA,SVC_linear,50,0.6025,0.6025
PCA,DecisionTreeClassifier,50,0.6825,0.6825
PCA,XGBClassifier,50,0.735,0.735
PCA,RandomForestClassifier,50,0.615,0.615
PCA,LogisticRegression,50,0.6025,0.6025
PCA,SVC_rbf,80,0.6475,0.6475
PCA,SVC_linear,80,0.5925,0.5925
PCA,DecisionTreeClassifier,80,0.68,0.68
PCA,XGBClassifier,80,0.735,0.735
PCA,RandomForestClassifier,80,0.6025,0.6025
PCA,LogisticRegression,80,0.5975,0.5975
